"question","answer","department","keywords"
"How to track my application status?","Login to the admission portal and check your application status using your credentials.","Admissions","track,status"
"How can I contact the CSE department?","You can email the CSE department via cse@sittech.edu.in or contact through the main office.","Contact","cse,contact,email"
"Where can I get academic timetables?","Academic timetables are published on the official website under the 'Quick Links' section.","Academics","timetable,schedule"
"How to get the exam schedule?","Exam schedules are posted online on the college website before each semester.","Academics","exam,schedule"
"What is the email for admissions?","You can reach the admission office at admissions@sittech.edu.in.","Contact","email,admissions"
"What are the working hours of college?","College functions from 9:30 AM to 5:00 PM, Monday to Saturday.","General","timings,working hours"
"Does SIT have an incubation center?","Yes, SIT has an Innovation & Incubation Cell to support student startups.","Innovation","incubation,startup"
"Can I participate in technical fests?","Yes, SIT organizes annual tech and cultural fests where all students can participate.","Events","fest,tech,cultural"
"Is there a robotics or coding club?","Yes, there are active clubs for robotics, coding, AI/ML, and photography.","Clubs","robotics,coding,clubs"
"Are online classes available?","Yes, SIT uses Google Classroom, Moodle, and Zoom for hybrid learning.","Academics","online,learning"
"Do you offer foreign exchange programs?","Select departments offer MoUs with foreign universities for exchange opportunities.","Academics","foreign,exchange"
"Who are the faculty members in the CSE department?","You can find the detailed faculty list for CSE on the official website under the 'Departments' section.","Academics","faculty,cse"
"Is faculty-student interaction encouraged?","Yes, faculty members conduct mentoring sessions and support students throughout the semester.","Academics","mentorship,faculty support"
"Are guest lectures conducted?","Yes, industry experts and professors from reputed institutions are invited regularly for guest lectures.","Academics","guest lecture,seminar"
"Do you offer transport for students from Siliguri town?","Yes, SIT operates buses across major points in and around Siliguri.","Facilities","transport,bus"
"Are college buses available for hostel students?","Yes, buses are available for both day scholars and hostel residents when needed.","Facilities","hostel,bus"
"Is there parking space for student vehicles?","Yes, there is a designated parking area for students' two-wheelers.","Facilities","parking,vehicles"
"When does the academic year begin?","The academic session usually begins in August, but dates vary depending on university guidelines.","Academics","academic year,start date"
"How many semesters are there in a year?","There are two semesters in each academic year: Odd (July–Dec) and Even (Jan–June).","Academics","semester,calendar"
"When are semester exams held?","Exams are held at the end of each semester, usually in November and May.","Academics","exams,semester"
"Is there a student grievance cell?","Yes, SIT has a student grievance redressal cell. You can lodge complaints through the student portal.","Support","grievance,complaints"
"Is counseling available for students?","Yes, SIT provides professional counseling support for mental health and career-related issues.","Support","counseling,mental health"
"Do you provide academic support for weak students?","Yes, remedial classes and peer mentoring are offered for students needing extra help.","Support","remedial,support"
"What is the annual fee for B.Tech?","The annual tuition fee for B.Tech is around ₹98,000 excluding hostel and exam charges.","Fees","tuition,btech"
"Are there any additional fees besides tuition?","Yes, students pay exam, lab, library, and development fees as per the fee structure.","Fees","additional,charges"
"Is there a late fee if I miss the due date?","Yes, a nominal fine is applicable if fee payment is delayed beyond the due date.","Fees","late fee,fine"
"Are there any sports facilities?","Yes, SIT has facilities for cricket, football, basketball, badminton, and table tennis.","Sports","sports,facilities"
"What cultural events happen on campus?","SIT organizes annual cultural festivals like 'AAROHAN', freshers party, and ethnic day.","Events","cultural,fest"
"Can I join student clubs?","Yes, SIT offers clubs for drama, coding, music, robotics, dance, and literature.","Clubs","clubs,extracurricular"
"Do students get access to online learning platforms?","Yes, SIT uses Google Classroom, Moodle, and online library databases for learning.","Academics","online learning,platforms"
"Is the library available digitally?","Yes, e-books and digital journals can be accessed through the library portal.","Library","digital,ebooks"
"Are assignments submitted online?","Yes, most assignments and submissions are handled through the internal portal.","Academics","assignment,submission"
"Do you admit foreign students?","Yes, SIT accepts international students based on equivalency certificates and university approval.","Admissions","foreign,NRI"
"Is there a separate fee structure for NRI students?","Yes, the fee structure for NRI students is different and is available on request.","Fees","nri,foreign,fee"
"Is TOEFL/IELTS required for foreign students?","Not necessarily, but a basic English proficiency is expected. Interview may be conducted.","Admissions","english,ielts"
"How can I get a bonafide certificate?","Apply through the student portal or visit the registrar office to request a bonafide certificate.","Support","bonafide,certificate"
"How to request transcript or mark sheets?","You can request official transcripts from the examination cell by submitting an application.","Academics","transcript,marksheet"
"Can I get a migration certificate after graduation?","Yes, the university provides migration certificate on request post-completion of degree.","Academics","migration,certificate"
"Does SIT support GATE or GRE preparation?","Yes, coaching sessions and guidance are available through faculty and alumni networks.","Career","gate,gre"
"Is there support for higher studies abroad?","Yes, students get guidance for MS, MBA, and research opportunities abroad.","Career","study abroad,higher education"
"Do alumni mentor current students?","Yes, we have an alumni mentorship program that connects current students with alumni.","Career","alumni,mentorship"
"What is the cutoff for B.Tech CSE?","The cutoff for B.Tech CSE typically ranges between 85-95 percentile in WBJEE/JEE Main.","Admissions","cutoff,cse,eligibility"
"How many seats are available in Mechanical Engineering?","There are 120 seats available in the Mechanical Engineering program.","Admissions","seats,mechanical,capacity"
"What is the faculty-to-student ratio?","The faculty-to-student ratio is approximately 1:15 across all departments.","Academics","faculty,ratio,class size"
"Are there any research opportunities for undergraduates?","Yes, undergraduates can participate in research projects through the Undergraduate Research Opportunities Program (UROP).","Academics","research,undergraduate,projects"
"What sports facilities are available?","The campus has cricket, football, and basketball grounds, plus indoor facilities for badminton and table tennis.","Facilities","sports,gym,athletics"
"Is there a coding club?","Yes, the SIT Coding Club organizes hackathons, workshops, and competitive programming sessions.","Clubs","coding,programming,hackathon"
"What medical facilities are on campus?","The campus has a 24/7 medical center with a resident nurse and visiting doctor twice weekly.","Facilities","medical,health,doctor"
"Can I change my branch after first year?","Branch change is possible based on first-year academic performance and seat availability.","Academics","branch change,transfer"
"What is the hostel fee structure?","Hostel fees range from ₹45,000-₹75,000 per year depending on room type (AC/non-AC).","Hostel","hostel fees,accommodation"
"Are there any industry collaborations?","SIT has MoUs with TCS, Infosys, and Siemens for curriculum development and internships.","Placements","industry,collaborations,mous"
"How do I access the digital library?","Use your student credentials to login at library.sittech.ac.in for e-resources.","Facilities","library,digital,ebooks"
"What are the MBA specializations?","MBA specializations include Marketing, Finance, HR, and Operations Management.","Academics","mba,specializations,pg"
"Is there a bus service from Siliguri town?","Yes, college buses operate on 6 routes covering major areas of Siliguri.","Facilities","transport,bus,routes"
"What coding languages are taught in CSE?","The curriculum covers Python, Java, C++, and JavaScript along with DS/Algorithms.","Academics","programming,languages,cse"
"Are there any international exchange programs?","SIT has student exchange partnerships with universities in Germany and Singapore.","Academics","exchange,international"
"How can I contact the ECE department?","Email ece@sittech.edu.in or call +91-9876543210 ext. 203.","Contact","ece,department contact"
"What is the procedure for lateral entry?","Diploma holders can apply through JELET exam for direct 2nd year admission.","Admissions","lateral entry,diploma,jelet"
"Are there any startup incubation facilities?","The SIT Innovation Hub provides mentorship and seed funding for student startups.","Innovation","startup,incubation"
"What security measures are in place?","Campus has 24/7 security, CCTV surveillance, and biometric entry to hostels.","Safety","security,safety,cctv"
"Can I do part-time courses along with B.Tech?","Yes, certification courses in AI/ML, IoT are offered through the SIT Skill Center.","Academics","part-time,certification"
"How many books are in the library?","The central library has over 50,000 physical books and 15,000 e-journals.","Facilities","library,books,resources"
"What is the dress code?","Formal attire is required during placements; otherwise casual modest wear is acceptable.","General","dress code,uniform"
"Are pets allowed in hostels?","No, pets are not permitted in hostel premises due to hygiene policies.","Hostel","pets,hostel rules"
"What are the canteen food options?","The canteen serves North/South Indian meals, snacks, and beverages at subsidized rates.","Facilities","canteen,food,mess"
"How often are cultural fests organized?","Major fests include annual tech fest 'Aavishkar' and cultural fest 'Aarohan'.","Events","fests,cultural,tech"
"Can I get a fee waiver?","Fee waivers are available for economically disadvantaged students with valid income proof.","Scholarships","fee waiver,financial aid"
"What is the alumni network like?","The SIT Alumni Association has 5,000+ members with active mentorship programs.","General","alumni,network"
"Are there any military quota seats?","Yes, 5 seats per branch are reserved for defense personnel dependents.","Admissions","military quota,defense"
"What lab facilities are available?","Department labs are equipped with latest equipment like 3D printers, CNC machines.","Facilities","labs,equipment"
"How do I register for campus placement?","Eligible students can register through the placement portal using college credentials.","Placements","placement registration"
"Are online courses recognized?","MOOCs from SWAYAM/NPTEL are credited as per AICTE guidelines.","Academics","online courses,moocs"
"What is the policy on attendance?","Minimum 75% attendance is mandatory across theory and practical courses.","Academics","attendance,policy"
"Can I do an internship abroad?","International internships are facilitated through the International Relations Cell.","Placements","internship,abroad"
"What student organizations exist?","Active clubs include Robotics Club, Literary Society, and Entrepreneurship Cell.","Clubs","student organizations"
"How are classes scheduled?","Classes run from 9:30 AM-4:30 PM with 1-hour lunch break; timetable is semester-based.","Academics","schedule,timetable"
"Are there any reserved parking spots?","Designated parking areas are available for students with valid vehicle registration.","Facilities","parking,vehicles"
"What career guidance is offered?","The Career Development Cell provides resume workshops, mock interviews, and aptitude training.","Placements","career guidance"
"Can I access labs after hours?","Department labs are accessible till 8 PM with faculty permission.","Facilities","labs,access timings"
"What's the policy on leaves?","Students can apply for leaves through the student portal; medical leaves require documentation.","Academics","leaves,attendance"
"Are there any women's safety measures?","Dedicated women's cell, CCTV-covered pathways, and late-night transport available.","Safety","women safety"
"Can I take a semester break?","Semester breaks are permitted only under exceptional circumstances with HOD approval.","Academics","semester break"
"What entrepreneurship support exists?","The E-Cell provides seed funding up to ₹50,000 for viable student startups.","Innovation","entrepreneurship"
"How do I check my grades?","Grades are published on the student portal within 15 days of semester exams.","Academics","grades,results"
"Are there any photography restrictions?","Photography requires prior permission in labs and certain restricted areas.","General","photography,rules"
"What mental health support is available?","Free counseling services are provided by trained psychologists twice weekly.","Support","mental health,counseling"
"Can I audit courses?","Course auditing is permitted with HOD approval and seat availability.","Academics","audit courses"
"What's the policy on plagiarism?","Strict anti-plagiarism rules apply with penalties ranging from warnings to expulsion.","Academics","plagiarism,academic integrity"
"Are there any prayer rooms?","Multi-faith prayer rooms are available in the administrative block.","Facilities","prayer rooms"
"How can I start a new student club?","Submit a proposal to the Student Affairs Committee with minimum 20 interested members.","Clubs","new club"
"Are there any banking facilities?","An SBI ATM and extension counter operate in the academic block.","Facilities","banking,atm"
"What is the admission process for international students?","International students must apply through the Foreign Admissions Cell with valid passport, academic transcripts, and proof of English proficiency.","Admissions","international,foreign,admission process"
"Are there any double degree programs?","Currently, SIT offers only single degree programs but allows minor specializations.","Academics","double degree,combined degree"
"What industry certifications are offered?","Cisco CCNA, AWS Academy, and Autodesk certifications are available through department partnerships.","Academics","certifications,industry"
"How do I apply for hostel accommodation?","Submit the hostel application form with your admission confirmation through the student portal.","Hostel","hostel application,accommodation"
"What are the visiting hours for hostels?","Hostel visiting hours are 4 PM to 7 PM on weekdays and 10 AM to 7 PM on weekends.","Hostel","visiting hours,hostel rules"
"Is there a laundry service in hostels?","Yes, hostel residents can use the paid laundry service or self-service washing machines.","Hostel","laundry,hostel facilities"
"What emergency services are available?","24/7 campus security (Dial 100 from any college phone), medical emergency response team.","Safety","emergency,security,medical"
"Can I use my own WiFi router in hostel?","No, personal routers are not allowed. High-speed WiFi is provided throughout hostels.","Hostel","wifi,internet,router"
"What are the library fines for late returns?","₹10/day for general books, ₹50/day for reference books and journals.","Facilities","library fines,late returns"
"Are there any weekend classes?","No regular classes, but some workshops/seminars may be scheduled on Saturdays.","Academics","weekend classes,schedule"
"How do I report infrastructure issues?","Submit maintenance requests through the 'SIT Care' app or inform the estate office.","Facilities","maintenance,repairs"
"What gym facilities are available?","Fully-equipped gym with cardio machines, weights, and trained instructor (membership ₹1000/semester).","Facilities","gym,fitness"
"Can day scholars access hostels?","Day scholars can visit hostel common areas during visiting hours with ID proof.","Hostel","day scholars,hostel access"
"What documents are needed for exam registration?","Valid ID card, fee receipt, and no-dues certificate from library/labs.","Academics","exam registration,documents"
"Is there a lost and found office?","Yes, contact the security office near the main gate for lost items.","Facilities","lost and found"
"Are there any student discounts available?","Students get discounts at campus canteen, stationery store, and local partner businesses with ID.","General","discounts,student benefits"
"What are the PhD admission requirements?","Master's degree with 55% marks, valid GATE/NET score, and research proposal approval.","Admissions","phd,research"
"Can I get a semester transfer from another university?","Possible with equivalent credits approval from the academic committee.","Academics","transfer,another university"
"What first aid facilities are available?","All departments and hostels have first aid kits; trained staff in medical center.","Facilities","first aid,medical"
"How do I apply for a bonafide certificate?","Apply online through the student portal or registrar's office (takes 3 working days).","Administration","bonafide certificate"
"What are the rules for project submissions?","Hardbound reports submitted by deadline with anti-plagiarism declaration.","Academics","project submission,rules"
"Are there any photography clubs?","Yes, the SIT Photography Club organizes workshops and photo walks monthly.","Clubs","photography,club"
"What career fairs are organized?","Annual Tech Career Fair in September and Startup Hiring Fair in March.","Placements","career fair,recruitment"
"Can I defer my admission?","Deferral possible for one year with valid reason and prior approval.","Admissions","defer admission"
"What student discounts are available on software?","Free access to Microsoft Office 365, MATLAB, and Autodesk products with student email.","Academics","software,discounts"
"How do I change my personal details in records?","Submit supporting documents to the registrar's office through your department.","Administration","change details,records"
"What are the rules for vehicle parking?","Parking sticker mandatory; two-wheelers ₹500/year, four-wheelers ₹2000/year.","Facilities","parking,vehicles,rules"
"Are there any dance clubs?","Yes, the SIT Dance Club practices weekly and performs at cultural events.","Clubs","dance,performing arts"
"What medical tests are required for admission?","Medical certificate stating fitness to study; hostel residents need additional tests.","Admissions","medical tests"
"Can I get an official transcript?","Yes, apply at examination cell with ₹500 fee; takes 7 working days.","Administration","transcript,marksheet"
"What are the rules for using auditorium?","Book through events committee with faculty approval at least 15 days prior.","Facilities","auditorium,events"
"Is there a student newsletter?","Monthly e-newsletter 'SIT Pulse' covers campus news and achievements.","General","newsletter,news"
"Are there any quotas for sports achievements?","5% seats reserved across programs for state/national level sportspersons.","Admissions","sports quota"
"What are the NCC options available?","Army, Navy and Air Force wings with regular drills and camps.","Clubs","ncc,defense"
"Can I access campus after hours?","Only hostel residents and authorized students with late permissions.","Safety","campus access,after hours"
"What are the graduation ceremony details?","Annual convocation in March with compulsory attendance for degree recipients.","Administration","graduation,convocation"
"Are there any food delivery restrictions?","Outside food delivery allowed only at main gate; not in academic blocks.","Facilities","food delivery"
"How do I apply for a duplicate ID card?","Pay ₹200 at accounts office and submit application with FIR copy if lost.","Administration","duplicate id card"
"What are the rules for industrial visits?","Mandatory for 3rd/4th years; consent form and full attendance required.","Academics","industrial visits"
"Are there any astronomy facilities?","Astronomy club with telescope and star-gazing events during clear nights.","Clubs","astronomy"
"Can I get course exemptions?","Possible for transfer students through exemption exam (₹1000/subject).","Academics","course exemptions"
"What are the rules for project dissertations?","Minimum 60 pages, 5 copies submitted before deadline with guide approval.","Academics","project dissertation"
"Are there any debate competitions?","Regular inter-college debates organized by the Literary Society.","Clubs","debate,literary"
"How do I check my attendance percentage?","Real-time attendance available on student portal under 'Academic Records'.","Academics","attendance,percentage"
"What are the rules for revaluation?","Apply within 15 days of results with ₹1000/subject fee.","Academics","revaluation,results"
"Are there any rural immersion programs?","Mandatory 2-week rural internship for all 3rd year students.","Academics","rural immersion"
"Can I use college facilities after graduation?","Alumni get library access but lab usage requires special permission.","Alumni","facilities,after graduation"
"What are the rules for cultural fest participation?","Register through student council with 75% attendance requirement.","Events","cultural fest,rules"
"Are there any film screening events?","Weekly educational screenings and annual student film festival.","Events","film screenings"
"How do I complain about faculty?","Submit written complaint to HOD or use anonymous grievance box.","Administration","complaint,faculty"
"What are the rules for summer internships?","Minimum 4 weeks duration with submission of report and certificate.","Placements","internships,summer"
"Are there any music practice rooms?","Yes, soundproof rooms available in cultural center with prior booking.","Facilities","music,practice rooms"
"Can I get a refund if I withdraw admission?","As per AICTE norms: 100% refund before session start, decreasing thereafter.","Admissions","refund,withdrawal"
"What are the rules for conference participation?","College sponsors 50% fees for papers published in reputed conferences.","Academics","conference,research"
"Are there any community service programs?","NSS wing organizes weekly village outreach and blood donation camps.","Clubs","community service,nss"
"How do I access previous year question papers?","Digital archive available on library portal with student login.","Academics","question papers,previous years"
"What are the rules for industrial training?","6-week compulsory training after 4th semester with evaluation report.","Placements","industrial training"
"Are there any 3D printing facilities?","Additive manufacturing lab with 5 printers available for academic projects.","Facilities","3d printing,lab"
"Can I take extra courses beyond curriculum?","Maximum 2 audit courses per semester with additional fees.","Academics","extra courses,audit"
"What are the rules for thesis submission?","Hardbound copies submitted 1 month before final viva with plagiarism report.","Academics","thesis submission"
"Are there any patent filing facilities?","IPR cell assists students with patent searches and filing procedures.","Innovation","patent,ipr"
"How do I apply for education loans?","College has tie-ups with SBI and Canara Bank for preferential loan processing.","Financial Aid","education loan"
"What are the rules for project funding?","Maximum ₹10,000 funding for innovative projects approved by incubation center.","Innovation","project funding"
"Are there any aeromodelling activities?","Aero Club builds drones and participates in national competitions.","Clubs","aeromodelling,drones"
"Can I get a leave for family emergencies?","Immediate 5-day leave granted with proper documentation.","Academics","emergency leave"
"What are the rules for using sports equipment?","Issue against ID card from sports complex; damage charges applicable.","Facilities","sports equipment"
"Are there any language courses offered?","Optional courses in German, Japanese and French through language lab.","Academics","language courses"
"How do I report ragging incidents?","24/7 anti-ragging helpline (1800-123-4567) or direct complaint to committee.","Safety","ragging,complaint"
"What are the rules for inter-college competitions?","Approval required from student activities coordinator 2 weeks prior.","Events","inter-college,competitions"
"Are there any disability support services?","Ramp access, special exam provisions, and assistive technologies available.","Support","disability support"
"Can I get a recommendation letter?","Faculty provide letters for eligible students with 7 days notice.","Administration","recommendation letter"
"What are the rules for off-campus placements?","College provides bonafide but no placement credit for off-campus jobs.","Placements","off-campus,placements"
"Are there any agricultural projects?","Vertical farming research project in collaboration with state agriculture dept.","Research","agriculture,projects"
"How do I register for competitive exams?","College facilitates GATE/GRE registrations with fee concessions.","Academics","competitive exams"
"What are the rules for using the makerspace?","Safety training mandatory before equipment access; open 10AM-6PM.","Facilities","makerspace,workshop"
"Are there any toy design projects?","Mechanical engineering department runs annual toy design competition.","Innovation","toy design"
"Can I get my semester extended?","Maximum 2 semester extensions permitted with valid medical/academic reasons.","Academics","semester extension"
"What are the rules for hostel room changes?","Allowed only between semesters based on availability and valid reasons.","Hostel","room change"
"Are there any ethical hacking courses?","Cybersecurity electives cover ethical hacking through licensed software.","Academics","ethical hacking"
"How do I join the college magazine team?","Audition through English department during annual recruitment in August.","Clubs","college magazine"
"What are the rules for alumni visits?","Alumni can visit during working hours after gate registration.","Alumni","visits,rules"
"Are there any quantum computing courses?","Advanced elective on quantum algorithms available for final year students.","Academics","quantum computing"
"Can I get a bus pass for city transport?","Concessional passes available through college for Siliguri city buses.","Facilities","bus pass,transport"
"What are the rules for guest lectures?","Students can propose speakers through department with faculty sponsorship.","Academics","guest lectures"
"Are there any VR development facilities?","VR lab with Oculus devices available for CSE/ECE project work.","Facilities","vr,development"
"How do I apply for research grants?","Submit proposal to research cell; maximum ₹50,000 funding per project.","Research","grants,funding"
"What are the rules for using the swimming pool?","Open 6-8AM and 4-6PM; medical certificate and safety orientation required.","Facilities","swimming pool"
"Are there any bioengineering projects?","Biomedical instrumentation projects in ECE department.","Research","bioengineering,projects"
"Can I get a certificate for extracurricular activities?","Participation certificates issued by student activities office on request.","Administration","certificates,extracurricular"
"What robotics equipment is available?","We have Arduino kits, 3D printers, industrial robots, and drone development platforms.","CSE","robotics,equipment,labs"
"How do I access cloud computing resources?","Use AWS Educate credits through CSE department; request access via lab coordinator.","CSE","cloud computing,aws"
"Are there IEEE student chapters?","Yes, active IEEE chapters for CS, ECE, and Power Engineering with global events.","Clubs","ieee,professional"
"What renewable energy projects exist?","Solar power research in EEE department with 20kW campus installation.","EEE","renewable energy,solar"
